日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票代码,股票名称
2025-04-17,71.2,69.51,82.8,69.36,127904.0,952372105.0,52.5,171.52,43.91,81.07,301662,宏工科技
2025-04-18,66.0,66.33,73.33,65.0,81649.0,568418265.0,11.98,-4.57,-3.18,51.75,301662,宏工科技
2025-04-21,67.0,62.18,67.01,61.8,72064.0,461139175.0,7.85,-6.26,-4.15,45.68,301662,宏工科技
2025-04-22,61.39,62.17,64.48,60.98,53211.0,340041734.0,5.63,-0.02,-0.01,33.73,301662,宏工科技
2025-04-23,63.55,60.21,64.33,60.0,53031.0,331433256.0,6.96,-3.15,-1.96,33.61,301662,宏工科技
2025-04-24,59.01,54.68,59.9,54.68,56692.0,325809790.0,8.67,-9.18,-5.53,35.93,301662,宏工科技
2025-04-25,54.0,54.0,55.6,53.7,35460.0,196304796.0,3.47,-1.24,-0.68,22.48,301662,宏工科技
2025-04-28,54.01,51.95,54.01,51.88,29308.0,156658460.0,3.94,-3.8,-2.05,18.58,301662,宏工科技
2025-04-29,50.5,50.66,51.56,50.31,27026.0,140384774.0,2.41,-2.48,-1.29,17.13,301662,宏工科技
2025-04-30,50.62,50.19,51.3,50.19,22500.0,116303840.0,2.19,-0.93,-0.47,14.26,301662,宏工科技
2025-05-06,50.4,51.5,51.52,50.19,26966.0,140057449.0,2.65,2.61,1.31,17.09,301662,宏工科技
2025-05-07,51.51,51.6,52.04,50.5,28779.0,150703006.0,2.99,0.19,0.1,18.24,301662,宏工科技
2025-05-08,51.15,51.67,52.03,50.9,21680.0,114012429.0,2.19,0.14,0.07,13.74,301662,宏工科技
2025-05-09,51.49,52.31,52.45,50.62,30830.0,162261607.0,3.54,1.24,0.64,19.54,301662,宏工科技
2025-05-12,54.81,62.2,62.97,54.1,93664.0,556880434.0,16.96,18.91,9.89,59.37,301662,宏工科技
2025-05-13,59.89,61.81,61.99,57.72,70783.0,430916597.0,6.86,-0.63,-0.39,44.87,301662,宏工科技
2025-05-14,60.99,61.86,64.68,60.48,62991.0,398856581.0,6.8,0.08,0.05,39.93,301662,宏工科技
2025-05-15,62.6,66.37,71.01,62.6,72454.0,493822017.0,13.6,7.29,4.51,45.93,301662,宏工科技
2025-05-16,64.37,68.13,70.68,64.0,60331.0,417022183.0,10.06,2.65,1.76,38.24,301662,宏工科技
2025-05-19,69.6,68.01,70.5,65.0,41109.0,281492359.0,8.07,-0.18,-0.12,26.06,301662,宏工科技
2025-05-20,67.66,68.42,69.94,64.0,46767.0,320849901.0,8.73,0.6,0.41,29.64,301662,宏工科技
2025-05-21,66.8,82.3,82.3,65.2,83428.0,639836939.0,24.99,20.29,13.88,52.88,301662,宏工科技
2025-05-22,77.0,73.59,78.84,72.89,59030.0,451341293.0,7.23,-10.58,-8.71,37.42,301662,宏工科技
2025-05-23,73.59,78.03,80.33,71.88,65207.0,509114958.0,11.48,6.03,4.44,41.33,301662,宏工科技
2025-05-26,78.99,80.01,87.28,76.73,61302.0,505882937.0,13.52,2.54,1.98,38.86,301662,宏工科技
2025-05-27,80.01,84.57,84.57,77.0,53311.0,436207614.0,9.46,5.7,4.56,33.79,301662,宏工科技
2025-05-28,82.0,76.06,83.0,75.82,41517.0,332704111.0,8.49,-10.06,-8.51,26.32,301662,宏工科技
2025-05-29,74.0,72.01,75.62,71.95,39172.0,291127149.0,4.83,-5.32,-4.05,24.83,301662,宏工科技
2025-05-30,72.3,69.33,72.74,69.26,31743.0,226955771.0,4.83,-3.72,-2.68,20.12,301662,宏工科技
2025-06-03,70.33,70.57,70.8,68.96,20697.0,146710123.0,2.65,1.79,1.24,13.12,301662,宏工科技
2025-06-04,69.99,73.29,75.88,69.99,40312.0,300437024.0,8.35,3.85,2.72,25.55,301662,宏工科技
2025-06-05,71.99,70.89,72.99,68.0,28599.0,203826722.0,6.81,-3.27,-2.4,18.13,301662,宏工科技
2025-06-06,71.25,75.11,78.0,71.25,35538.0,269784505.0,9.52,5.95,4.22,22.53,301662,宏工科技
2025-06-09,75.23,79.01,80.99,75.23,37823.0,300697892.0,7.67,5.19,3.9,23.97,301662,宏工科技
2025-06-10,78.22,81.01,85.01,76.81,46413.0,378640099.0,10.38,2.53,2.0,29.42,301662,宏工科技
2025-06-11,78.84,77.54,80.99,76.6,29194.0,228129887.0,5.42,-4.28,-3.47,18.51,301662,宏工科技
2025-06-12,77.0,93.05,93.05,76.08,50882.0,435647699.78,21.89,20.0,15.51,32.25,301662,宏工科技
